NETCDF_NAME,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL
NULL,CO_MixingRatio_PICARRO,ppmv,1.0,-999999.0
NULL,C3H8_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,WND,Degs,1.0,-999999.0
NULL,TEMPERATURE,K,1.0,-999999.0
NULL,H2O_MixingRatio,g kg-1,1.0,-999999.0
NULL,TAS,m/s,1.0,-999999.0
NULL,C2H6_MixingRatio_CAMS2,ppbv,1.0,-999999.0
NULL,H2O_VolMixingRatio_PICARRO,%,1.0,-999999.0
NULL,Radar_ALT,km,1.0,-999999.0
NULL,ManeuverFlag,none,1.0,-999999.0
NULL,LATITUDE,degs,1.0,-999999.0
NULL,ROLL,degs,1.0,-999999.0
NULL,Altitude-AGL_GoogleMaps,km,1.0,-999999.0
NULL,CH4_MixingRatio_PICARRO,ppmv,1.0,-999999.0
NULL,nC4H10_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,O3_MixingRatio,ppbv,1.0,-999999.0
NULL,Altitude_AGL,km,1.0,-999999.0
NULL,TotalAirTemp,K,1.0,-999999.0
NULL,F365m_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2402_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,BENZ_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,MLH-AMSL_CPL,km,1.0,-999999.0
NULL,CH4_MoleFraction_PFP,ppb,1.0,-999999.0
NULL,PITCH,degs,1.0,-999999.0
NULL,RHi_PICARRO,%,1.0,-999999.0
NULL,Ground_Elevation,km,1.0,-999999.0
NULL,CO2_DryMoleFrac_PICARRO,ppm,1.0,-999999.0
NULL,TCE_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_VaporPressure_Nav,hPa,1.0,-999999.0
NULL,MEBR_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,DIBR_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,V_WINDS,m s-1,1.0,-999999.0
NULL,GroundElevation-AMSL_GoogleMaps,km,1.0,-999999.0
NULL,SolarZenithAngle,degs,1.0,-999999.0
NULL,DriftAngle,degs,1.0,-999999.0
NULL,HDG,degs,1.0,-999999.0
NULL,O3_MoleFraction,ppb,1.0,-999999.0
NULL,H2O_MixingRatio_Nav,g kg-1,1.0,-999999.0
NULL,H2O_SatVaporPressureWater_Nav,hPa,1.0,-999999.0
NULL,Dewpoint,K,1.0,-999999.0
NULL,H2O_VaporPressure_PICARRO,hPa,1.0,-999999.0
NULL,F13_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,F23_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,SunAzimuth,degs,1.0,-999999.0
NULL,Dewpoint_PICARRO,K,1.0,-999999.0
NULL,SO2F2_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CLHF_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CH2BrCl_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_MassMixingRatio_PICARRO,g kg-1,1.0,-999999.0
NULL,StaticPressure,hPa,1.0,-999999.0
NULL,H1211_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CH4C13_MoleFraction_PFP,permil,1.0,-999999.0
NULL,VerticalSpeed,ft min-1,1.0,-999999.0
NULL,CO_DryMoleFrac_PICARRO,ppm,1.0,-999999.0
NULL,F143a_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,THETA,K,1.0,-999999.0
NULL,JDAY,days,1.0,-999999.0
NULL,MECL_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,F227e_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,C2H6_CAMS2,ppbv,1.0,-999999.0
NULL,GPS_ALT,km,1.0,-999999.0
NULL,F113_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,iC4H10_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,P218_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_SatVaporPressureIce_Nav,hPa,1.0,-999999.0
NULL,AircraftSunAzimuth,degs,1.0,-999999.0
NULL,HF22_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,O3COLUMN,DU,1.0,-999999.0
NULL,CH4_DryMoleFrac_PICARRO,ppm,1.0,-999999.0
NULL,MachNumber,mach,1.0,-999999.0
NULL,OCS_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,F236fa_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_VaporPressure,hPa,1.0,-999999.0
NULL,FLIGHT,none,1.0,-999999.0
NULL,Dewpoint_Nav,K,1.0,-999999.0
NULL,H2_MoleFraction_PFP,ppb,1.0,-999999.0
NULL,CH3I_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,AircraftSunElevation,degs,1.0,-999999.0
NULL,LOCAL_SUN_TIME,hour,1.0,-999999.0
NULL,CabinPressure,hPa,1.0,-999999.0
NULL,H2O_SatVaporPressureWater,hPa,1.0,-999999.0
NULL,F152A_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CO2C14_MoleFraction_PFP,permil,1.0,-999999.0
NULL,SZA,deg,1.0,-999999.0
NULL,MCFA_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,PRESSURE,hPa,1.0,-999999.0
NULL,MLH_CPL,km,1.0,-999999.0
NULL,U_WINDS,m s-1,1.0,-999999.0
NULL,ALTP,km,1.0,-999999.0
NULL,F115_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_RelativeHumidity,%,1.0,-999999.0
NULL,PotentialTemp_Nav,K,1.0,-999999.0
NULL,F125_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,GRD_SPD,m/s,1.0,-999999.0
NULL,CO2_MoleFraction_PFP,ppm,1.0,-999999.0
NULL,F134A_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H1301_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,DICL_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CF4_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,IAS,m/s,1.0,-999999.0
NULL,INDEX,none,1.0,-999999.0
NULL,C2H6_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,F11B_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CO_MoleFraction_PFP,ppb,1.0,-999999.0
NULL,HF133a_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_SatVaporPressureIce,hPa,1.0,-999999.0
NULL,N2O_MoleFraction_PFP,ppb,1.0,-999999.0
NULL,TRK,degs,1.0,-999999.0
NULL,DifferentialPressure,hPa,1.0,-999999.0
NULL,PCE_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CHLF_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CO2_MixingRatio_PICARRO,ppmv,1.0,-999999.0
NULL,SF6_CCGG_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,PotentialTemp,K,1.0,-999999.0
NULL,RHw_PICARRO,%,1.0,-999999.0
NULL,WNS,m/s,1.0,-999999.0
NULL,SF6_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,LONGITUDE,degs,1.0,-999999.0
NULL,C2H2_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,GroundHeight-AMSL_CPL,km,1.0,-999999.0
NULL,iC5H12_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,CH4C13_PFP,per mil,1.0,-999999.0
NULL,F32_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,FC12_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,nC6H14_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,nC5H12_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,H2O_RelativeHumidity_Nav,%,1.0,-999999.0
NULL,GroundHeight_CPL,km,1.0,-999999.0
NULL,CO2C14_PFP,per mil,1.0,-999999.0
NULL,UTC,s,1.0,nan
NULL,C2F6_MoleFraction_PFP,ppt,1.0,-999999.0
NULL,TOL_MoleFraction_PFP,ppt,1.0,-999999.0
